,cmte_id,cmte_nm,name,file_year,other_id,sum
203,C00079541,NARAL PRO-CHOICE AMERICA PAC,MAGGIE FOR NH,2016,C00588772,7700.0
204,C00079541,NARAL PRO-CHOICE AMERICA PAC,BONAMICI FOR CONGRESS,2012,C00500421,7500.0
205,C00079541,NARAL PRO-CHOICE AMERICA PAC,MAX ROSE FOR CONGRESS,2020,C00652248,7500.0
206,C00079541,NARAL PRO-CHOICE AMERICA PAC,FRIENDS OF PATRICK MURPHY,2016,C00493825,7500.0
207,C00079541,NARAL PRO-CHOICE AMERICA PAC,PERLMUTTER FOR CONGRESS,2012,C00410639,7500.0
208,C00079541,NARAL PRO-CHOICE AMERICA PAC,COMMITTEE TO ELECT JARED GOLDEN,2022,C00653816,7500.0
209,C00079541,NARAL PRO-CHOICE AMERICA PAC,CISNEROS FOR CONGRESS,2020,C00650648,7500.0
210,C00079541,NARAL PRO-CHOICE AMERICA PAC,CINDY AXNE FOR CONGRESS,2022,C00646844,7500.0
211,C00079541,NARAL PRO-CHOICE AMERICA PAC,CINDY AXNE FOR CONGRESS,2020,C00646844,7500.0
212,C00079541,NARAL PRO-CHOICE AMERICA PAC,PAULA BROOKS FOR CONGRESS,2010,C00465344,7500.0
213,C00079541,NARAL PRO-CHOICE AMERICA PAC,DEBBIE FOR CONGRESS,2020,C00652065,7500.0
214,C00079541,NARAL PRO-CHOICE AMERICA PAC,CHRISTINA BOHANNAN FOR CONGRESS,2022,C00787820,7500.0
215,C00079541,NARAL PRO-CHOICE AMERICA PAC,HIRAL FOR CONGRESS,2020,C00649897,7500.0
216,C00079541,NARAL PRO-CHOICE AMERICA PAC,CARAVEO FOR CONGRESS,2022,C00787788,7500.0
217,C00079541,NARAL PRO-CHOICE AMERICA PAC,FRIENDS OF ELIZABETH ESTY,2014,C00494203,7500.0
218,C00079541,NARAL PRO-CHOICE AMERICA PAC,LIZ MATHIS FOR CONGRESS,2022,C00785675,7500.0
219,C00079541,NARAL PRO-CHOICE AMERICA PAC,CAIN FOR CONGRESS,2016,C00546077,7500.0
220,C00079541,NARAL PRO-CHOICE AMERICA PAC,KATHY HOCHUL FOR CONGRESS,2012,C00494013,7500.0
221,C00079541,NARAL PRO-CHOICE AMERICA PAC,DENNY HECK FOR CONGRESS,2010,C00472159,7500.0
222,C00079541,NARAL PRO-CHOICE AMERICA PAC,JOHN CALLAHAN FOR CONGRESS,2010,C00464750,7500.0
223,C00079541,NARAL PRO-CHOICE AMERICA PAC,TOM O'HALLERAN FOR CONGRESS,2022,C00582890,7500.0
224,C00079541,NARAL PRO-CHOICE AMERICA PAC,BRITTANY PETTERSEN FOR COLORADO,2022,C00637215,7500.0
225,C00079541,NARAL PRO-CHOICE AMERICA PAC,PETERS FOR US CONGRESS,2010,C00437889,7500.0
226,C00079541,NARAL PRO-CHOICE AMERICA PAC,TIM RYAN FOR OHIO,2022,C00777771,7500.0
227,C00079541,NARAL PRO-CHOICE AMERICA PAC,BRINDISI FOR CONGRESS,2020,C00648725,7500.0
228,C00079541,NARAL PRO-CHOICE AMERICA PAC,TADDEO FOR CONGRESS,2022,C00445163,7500.0
229,C00079541,NARAL PRO-CHOICE AMERICA PAC,SUSIE LEE FOR CONGRESS,2022,C00655613,7500.0
230,C00079541,NARAL PRO-CHOICE AMERICA PAC,SUSIE LEE FOR CONGRESS,2020,C00655613,7500.0
231,C00079541,NARAL PRO-CHOICE AMERICA PAC,SUSAN WILD FOR CONGRESS,2020,C00658567,7500.0
232,C00079541,NARAL PRO-CHOICE AMERICA PAC,STANTON FOR CONGRESS,2022,C00657304,7500.0
233,C00079541,NARAL PRO-CHOICE AMERICA PAC,ELAINE FOR CONGRESS,2022,C00664375,7500.0
234,C00079541,NARAL PRO-CHOICE AMERICA PAC,AIMEE BELGARD FOR CONGRESS,2014,C00550103,7000.0
235,C00079541,NARAL PRO-CHOICE AMERICA PAC,JOHN FOUST FOR CONGRESS,2014,C00553040,7000.0
236,C00079541,NARAL PRO-CHOICE AMERICA PAC,KIRKPATRICK FOR ARIZONA,2014,C00437293,7000.0
237,C00079541,NARAL PRO-CHOICE AMERICA PAC,NANCY PELOSI FOR CONGRESS,2012,C00213512,7000.0
238,C00079541,NARAL PRO-CHOICE AMERICA PAC,CONGRESSMAN WAXMAN CAMPAIGN COMMITTEE,2012,C00013128,7000.0
239,C90004185,NARAL PRO-CHOICE AMERICA,STRATEGIES FOR CHANGE GROUP,2020,S4IA00129,6972.0
240,C70002761,NARAL PRO-CHOICE AMERICA,,2014,S8NC00239,6689.0
241,C00079541,NARAL PRO-CHOICE AMERICA PAC,JOSH HARDER FOR CONGRESS,2020,C00639146,6584.0
242,C70002761,NARAL PRO-CHOICE AMERICA,,2014,S4NC00162,6519.0
