,cmte_id,cmte_nm,name,other_id,sum
177,C00556860,"PROTECTING CHOICE IN CALIFORNIA, A PROJECT OF PLANNED PARENTHOOD AFFILIATES OF CALIFORNIA",UPLIFT,H8CA10126,5000.0
178,C00556860,"PROTECTING CHOICE IN CALIFORNIA, A PROJECT OF PLANNED PARENTHOOD AFFILIATES OF CALIFORNIA",UPLIFT,H8CA45130,5000.0
179,C00556860,"PROTECTING CHOICE IN CALIFORNIA, A PROJECT OF PLANNED PARENTHOOD AFFILIATES OF CALIFORNIA",UPLIFT,H8CA49058,5000.0
180,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",DR ASIF MAHMOOD FOR CONGRESS,C00801688,5000.0
181,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",COURTNEY FOR CONGRESS,C00410233,5000.0
182,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",CONOLE FOR CONGRESS,C00702191,5000.0
183,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",CHRISTY SMITH FOR CONGRESS,C00725101,5000.0
184,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",CHRISTINA BOHANNAN FOR CONGRESS,C00787820,5000.0
185,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",LATINO VICTORY FUND,C00562777,5000.0
186,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PAT RYAN FOR CONGRESS,C00815290,5000.0
